#Tag1,Tag2,Startframe,Stopframe,Starttime,Stoptime,Box,Xcoor1,Ycoor1,Angle1,Xcoor2,Ycorr2,Angle2,Direction,Detections
25,178,611081,611081,1390262572.48,1390262572.48,62,944,1592,9794,1014,1457,-2553,1,1
25,192,611221,611221,1390262642.48,1390262642.48,62,520,1934,10494,257,1766,-2692,1,1
192,592,611482,611499,1390262772.99,1390262781.49,62,635,2160,5258,780,2109,-16609,-1,18
192,592,611504,611504,1390262783.99,1390262783.99,62,763,2022,807,782,2120,-17182,0,1
192,44,611527,611527,1390262795.49,1390262795.49,62,1509,1518,-1692,1639,1412,15821,0,1
192,44,611532,611532,1390262797.99,1390262797.99,62,1706,1598,5007,1634,1400,-17178,1,1
25,220,611560,611562,1390262811.99,1390262812.99,62,1981,4188,10478,1851,4041,-17974,3,3
192,178,611563,611563,1390262813.49,1390262813.49,62,1519,1479,16507,1333,1573,-3853,1,1
25,220,611577,611598,1390262820.49,1390262830.99,62,1904,4371,-15398,1815,4377,5080,-3,16
192,44,611605,611605,1390262834.49,1390262834.49,62,816,1328,-4892,1024,1488,16221,0,1
25,220,611637,611643,1390262850.49,1390262853.49,62,2268,3790,8274,2160,3764,-8677,-1,4
25,220,611646,611646,1390262854.99,1390262854.99,62,2281,3784,10294,2133,3993,-2178,-1,1
44,178,611650,611655,1390262856.99,1390262859.49,62,683,1488,-7587,939,1492,15266,-5,5
25,44,611730,611739,1390262896.98,1390262901.48,62,394,1577,-8258,524,1705,9238,-1,8
44,178,611748,611768,1390262905.98,1390262915.98,62,506,1708,10714,521,1388,-11699,2,15
25,44,611750,611760,1390262906.98,1390262911.98,62,400,1547,-4782,507,1709,10732,0,9
25,178,611751,611760,1390262907.48,1390262911.98,62,399,1544,-4776,526,1390,-11610,-7,7
25,44,611775,611776,1390262919.48,1390262919.98,62,392,1548,-3604,520,1721,8971,0,2
192,44,611778,611780,1390262920.98,1390262921.98,62,710,1307,-12292,675,1567,7220,0,3
25,178,611779,611779,1390262921.48,1390262921.48,62,424,1562,-3005,483,1433,17746,-1,1
192,178,611779,611781,1390262921.48,1390262922.48,62,698,1330,-11333,473,1401,15809,3,3
44,178,611779,611779,1390262921.48,1390262921.48,62,683,1587,6721,483,1433,17746,1,1
192,44,611786,611786,1390262924.98,1390262924.98,62,759,1495,-5192,821,1480,9921,0,1
25,192,611787,611787,1390262925.48,1390262925.48,62,424,1538,-3605,722,1569,-10892,-1,1
25,192,611795,611800,1390262929.48,1390262931.98,62,444,2055,-5229,596,2104,9619,2,4
192,178,611818,611818,1390262940.98,1390262940.98,62,744,1217,15207,709,992,6846,1,1
44,178,611818,611819,1390262940.98,1390262941.48,62,597,822,-9727,717,973,6945,1,2
192,44,611819,611846,1390262941.48,1390262954.96,62,525,925,7447,616,810,-8556,4,19
44,592,611886,611896,1390262974.96,1390262979.96,62,722,1411,-1157,921,1513,8935,6,11
192,592,611889,611889,1390262976.46,1390262976.46,62,1059,1522,-7392,928,1541,9717,0,1
44,592,611905,611931,1390262984.46,1390262997.46,62,712,1461,960,762,1349,-15461,-2,21
220,592,612027,612036,1390263045.46,1390263049.96,62,880,1807,-5806,919,1982,14126,-1,10
220,592,612037,612037,1390263050.46,1390263050.46,62,719,2121,-9178,920,1983,14017,-1,1
44,592,613384,613384,1390263723.95,1390263723.95,62,1013,2084,-8578,1251,2287,-782,1,1
220,592,613542,613547,1390263802.94,1390263805.44,62,1210,3531,-17186,1201,3661,3398,-3,5
178,592,615911,615912,1390264987.4,1390264987.9,62,1803,1275,-5203,1806,992,-11681,-2,2
178,592,615991,616003,1390265027.4,1390265033.4,62,787,1738,-5128,970,1843,-13007,8,8
178,592,616008,616023,1390265035.9,1390265043.4,62,801,1777,-6329,975,1838,-12766,0,13
25,178,616014,616023,1390265038.9,1390265043.4,62,716,1920,3792,803,1782,-6264,9,9
25,592,616014,616026,1390265038.9,1390265044.9,62,717,1918,3959,975,1837,-12709,0,11
25,178,616029,616029,1390265046.4,1390265046.4,62,689,1863,7094,826,1779,-6253,1,1
25,592,616037,616047,1390265050.4,1390265055.4,62,766,1846,412,976,1828,-12427,-2,11
178,592,616038,616048,1390265050.9,1390265055.9,62,826,1699,-1775,976,1828,-12436,11,11
178,592,616054,616056,1390265058.9,1390265059.9,62,844,1717,-3802,975,1827,-12432,2,2
25,178,616057,616077,1390265060.4,1390265070.4,62,642,2001,-59,764,1837,-10597,-8,13
25,592,616061,616061,1390265062.4,1390265062.4,62,673,2001,-1405,976,1833,-12582,1,1
25,592,616067,616067,1390265065.4,1390265065.4,62,691,2033,94,961,1845,-13482,1,1
178,592,616124,616149,1390265093.9,1390265106.4,62,465,3831,17205,296,3928,-546,6,26
215,592,617195,617199,1390265629.38,1390265631.38,62,1475,1652,4023,1568,1451,-4583,0,4
192,592,617217,617232,1390265640.38,1390265647.88,62,1542,1567,9561,1553,1460,-6768,1,12
192,44,617241,617243,1390265652.38,1390265653.38,62,583,2904,-6092,831,2939,1321,2,2
44,592,617370,617390,1390265716.89,1390265726.89,62,590,836,-2457,577,1045,10111,-12,15
44,592,617401,617404,1390265732.38,1390265733.88,62,581,810,-2011,540,985,8450,-3,3
44,592,617436,617448,1390265749.88,1390265755.88,62,597,787,-1232,515,975,10921,-11,11
44,592,617455,617455,1390265759.38,1390265759.38,62,588,773,-878,499,974,9417,-1,1
25,192,617830,617835,1390265946.86,1390265949.36,62,1126,3745,8813,939,3672,-5191,-3,3
25,192,617849,617849,1390265956.36,1390265956.36,62,965,3689,14694,1056,3690,-14492,-1,1
25,220,619750,619753,1390266906.82,1390266908.32,62,1842,1676,10594,1713,1471,-4777,0,4
25,220,619758,619786,1390266910.82,1390266924.82,62,1819,1632,12935,1677,1478,-5401,3,27
25,220,619887,619903,1390266975.32,1390266983.32,62,725,1400,11287,532,1427,958,-10,15
25,220,620015,620027,1390267039.33,1390267045.33,62,2905,4477,11231,2737,4413,-4112,-1,12
25,44,620306,620311,1390267184.83,1390267187.33,62,1173,2224,14025,933,2026,-3778,0,6
25,44,620379,620379,1390267221.33,1390267221.33,62,1104,2186,-7705,1217,1904,-12278,-1,1
192,220,620390,620396,1390267226.83,1390267229.83,62,1590,2624,-13863,1607,2492,-8335,-7,7
192,44,620409,620411,1390267236.33,1390267237.33,62,1581,2655,-15158,1531,2471,-7709,-3,3
192,44,620457,620457,1390267260.33,1390267260.33,62,1573,2655,-15992,1840,2727,10921,-1,1
192,220,620519,620541,1390267291.33,1390267302.33,62,1571,2652,-15787,1746,2764,14079,-23,23
192,220,620568,620569,1390267315.83,1390267316.33,62,1570,2652,-15691,1644,2440,-5578,-2,2
192,220,620594,620602,1390267328.82,1390267332.82,62,1581,2657,-16125,1610,2459,-10211,-9,9
192,437,620781,620781,1390267422.3,1390267422.3,62,176,1891,707,336,2132,-7621,1,1
192,437,620784,620785,1390267423.8,1390267424.3,62,292,2148,-10242,353,2424,-3771,2,2
192,437,620793,620794,1390267428.3,1390267428.8,62,378,2159,3807,559,2242,8978,0,2
25,437,620915,620930,1390267489.31,1390267496.81,62,1593,3345,8918,1619,3156,17865,16,16
25,192,620965,620965,1390267514.31,1390267514.31,62,842,3321,2894,818,3544,13707,-1,1
25,437,620980,621009,1390267521.81,1390267536.31,62,1547,3308,6452,1621,3151,-17980,23,27
25,220,621002,621003,1390267532.81,1390267533.31,62,1563,3293,7393,1352,3445,1121,-2,2
220,437,621012,621040,1390267537.81,1390267551.81,62,1657,3305,5924,1619,3148,-17638,29,29
25,220,621028,621031,1390267545.81,1390267547.31,62,1914,3201,2594,1676,3311,7370,-2,2
25,220,621038,621038,1390267550.81,1390267550.81,62,1901,3189,2294,1686,3296,7821,-1,1
220,437,621104,621114,1390267583.81,1390267588.81,62,1831,3023,-12178,1609,3158,-17365,9,9
25,220,621104,621110,1390267583.81,1390267586.81,62,1891,3228,-17144,1839,3000,-12298,5,5
25,220,621117,621117,1390267590.31,1390267590.31,62,1576,3420,15494,1753,3310,-14478,-1,1
25,220,621125,621137,1390267594.31,1390267600.31,62,1553,3440,12378,1686,3310,-15522,-6,12
25,437,621130,621136,1390267596.81,1390267599.81,62,1530,3427,11314,1606,3162,-17396,-4,4
25,220,621142,621155,1390267602.81,1390267609.31,62,1165,3568,14174,1340,3479,-16316,-11,11
25,220,621160,621160,1390267611.81,1390267611.81,62,1109,3584,13794,1001,3426,-17578,1,1
25,437,621195,621195,1390267629.31,1390267629.31,62,1404,2425,-16805,1158,2282,-8621,-1,1
25,44,621240,621256,1390267651.81,1390267659.81,62,987,2419,2079,1183,2369,-13822,2,14
44,220,621257,621258,1390267660.31,1390267660.81,62,1079,2310,-16378,1390,2299,14821,-2,2
25,220,621263,621263,1390267663.31,1390267663.31,62,991,2424,2694,1317,2340,16921,0,1
44,220,621264,621269,1390267663.81,1390267666.31,62,1040,2292,-14077,1271,2339,17087,-6,6
25,44,621269,621270,1390267666.31,1390267666.81,62,998,2436,3194,1029,2259,-14828,0,2
25,220,621269,621273,1390267666.31,1390267668.31,62,999,2434,3313,1206,2307,16241,2,5
25,220,621278,621280,1390267670.81,1390267671.81,62,1004,2305,6427,851,2110,17385,3,3
220,437,621285,621286,1390267674.31,1390267674.81,62,622,2380,-12278,504,2188,-6270,-2,2
220,437,621288,621288,1390267675.81,1390267675.81,62,570,2407,-16378,466,2542,-5321,1,1
25,220,621290,621291,1390267676.81,1390267677.31,62,706,2274,-12054,435,2431,-17878,2,2
25,437,621980,621998,1390268021.79,1390268030.79,62,1790,1409,-4935,1628,1493,4786,-17,17
25,437,622007,622010,1390268035.29,1390268036.79,62,1786,1419,-5454,1818,1209,-14018,-4,4
25,437,622027,622028,1390268045.29,1390268045.79,62,1723,1425,-5855,1869,1440,-10920,1,2
25,437,622037,622053,1390268050.29,1390268058.29,62,1726,1324,-3349,1862,1429,-10446,17,17
25,220,622074,622077,1390268068.79,1390268070.29,62,2129,1351,-4379,2232,1601,12120,0,4
25,220,622099,622104,1390268081.29,1390268083.79,62,1547,1426,8814,1726,1331,-15807,-2,5
25,220,622244,622245,1390268153.79,1390268154.29,62,1665,589,-1405,1813,794,8521,0,2
25,437,622477,622477,1390268270.29,1390268270.29,62,1986,1512,-13105,2015,1218,-5921,-1,1
25,437,622483,622492,1390268273.29,1390268277.79,62,1835,1600,15193,1793,1371,-11132,0,10
25,220,622555,622555,1390268309.29,1390268309.29,62,570,553,16394,411,415,5921,1,1
44,437,622717,622720,1390268390.28,1390268391.78,62,700,1807,9948,864,1762,-8630,0,4
192,118,622772,622772,1390268417.78,1390268417.78,62,946,1684,9407,1044,1522,2079,1,1
192,437,622866,622868,1390268464.78,1390268465.78,62,754,3032,10373,754,2811,-6754,0,3
25,437,622942,622948,1390268502.77,1390268505.77,62,273,1413,12493,61,1419,-3868,-2,5
25,437,622957,622957,1390268510.27,1390268510.27,62,304,1403,14994,93,1538,-9721,1,1
25,437,622962,622965,1390268512.77,1390268514.27,62,363,1439,15794,202,1477,7739,0,4
215,437,622986,622986,1390268524.77,1390268524.77,62,1079,100,-17166,1320,245,11778,-1,1
25,437,623028,623036,1390268545.77,1390268549.77,62,605,1067,5,683,1232,7441,-1,9
25,437,623128,623129,1390268595.77,1390268596.27,62,533,2640,-11554,381,2799,10777,1,2
25,220,623165,623172,1390268614.27,1390268617.77,62,577,2778,-1010,691,2963,7663,5,7
220,437,623654,623654,1390268858.78,1390268858.78,62,1630,9,6321,1843,49,-16121,-1,1
118,220,624427,624427,1390269245.26,1390269245.26,62,1357,1613,9279,1061,1462,-78,1,1
25,118,624532,624537,1390269297.76,1390269300.26,62,1773,1469,-5282,1612,1588,4035,-5,6
25,118,624538,624541,1390269300.76,1390269302.26,62,1787,1470,-6238,1918,1668,9187,1,3
25,220,624560,624564,1390269311.76,1390269313.76,62,1463,1685,15054,1331,1596,-6560,0,5
25,220,624613,624636,1390269338.26,1390269349.76,62,1736,1561,2277,1929,1470,-4108,18,18
220,437,624681,624711,1390269372.26,1390269387.24,62,1983,1371,-3662,2113,1590,11322,-2,26
25,437,624681,624700,1390269372.26,1390269381.74,62,1873,1521,49,2112,1591,11273,-5,20
25,220,624682,624682,1390269372.76,1390269372.76,62,1824,1496,1894,2001,1356,-2778,1,1
25,220,624697,624707,1390269380.24,1390269385.24,62,1776,1461,4084,1985,1373,-2878,10,11
118,437,624735,624736,1390269399.24,1390269399.74,62,1655,1672,-2770,1864,1748,-12871,1,2
25,220,624743,624747,1390269403.24,1390269405.24,62,1946,1094,15394,1802,1211,160,-5,5
25,44,625813,625830,1390269938.23,1390269946.73,62,611,2859,-9605,694,2984,7018,5,17
25,220,625993,626030,1390270028.23,1390270046.73,62,731,2886,-8059,680,3144,8673,3,38
25,437,626230,626234,1390270146.72,1390270148.72,62,1351,1742,-14805,1138,1674,-501,0,5
25,437,626240,626243,1390270151.72,1390270153.22,62,1359,1758,-15655,1252,1780,-4170,2,2
25,437,626245,626245,1390270154.22,1390270154.22,62,1360,1759,-15805,1259,1966,-5521,1,1
192,220,626969,626972,1390270516.21,1390270517.71,62,870,2185,-8841,930,2387,-17263,2,4
220,437,627027,627040,1390270545.21,1390270551.71,62,576,1958,-6209,559,2060,10096,-2,9
220,437,627055,627069,1390270559.21,1390270566.21,62,834,1937,6842,628,1939,-674,-15,15
220,437,627075,627089,1390270569.21,1390270576.21,62,833,1941,6985,821,1746,-3700,1,14
192,437,627099,627100,1390270581.21,1390270581.71,62,1207,2470,-8092,1030,2439,-2221,-2,2
25,220,627211,627224,1390270637.21,1390270643.71,62,645,1712,2284,814,1597,17052,2,11
215,220,627314,627318,1390270688.7,1390270690.7,62,1521,1782,6452,1646,1572,12001,5,5
25,192,627323,627323,1390270693.2,1390270693.2,62,1206,2152,-5605,1141,2392,-12392,1,1
25,192,627331,627335,1390270697.2,1390270699.2,62,1065,1993,-2446,780,2023,3686,-5,5
215,220,627352,627355,1390270707.7,1390270709.2,62,1515,1766,7183,1597,1521,12420,4,4
